pd_location,signal_width,rise_time,fall_time,peak_voltage,polarity,abs(mean),rms,sd,NewSkewness,kurtosis,crest,abs(formFactor),MainFreq,phase_angle,T,W,pC,pd_class
1183705,26,11,15,1.677739,-1,0.9859516,1.117843,0.5367917,0.2525185,1.768413,1.500871,1.133771,0,213.0669,35.60332,3.005672,53241.39,31
1325956,26,12,14,4.783325,-1,2.804531,3.214117,1.59999,0.3029592,1.726308,1.488224,1.146044,0,238.6721,39.44443,2.594997,151444.7,31
1305573,25,11,14,4.85612,-1,2.880424,3.276326,1.59216,0.3170305,1.79766,1.482184,1.137446,0,235.0031,36.34924,2.990073,149782,31
392459,27,13,14,5.449917,1,3.203601,3.638405,1.75645,0.2776596,1.751523,1.497886,1.135724,0,70.64262,42.31865,2.289314,179401.6,31
1109061,24,11,13,3.647728,-1,2.256935,2.533157,1.173994,0.4021636,1.852668,1.439993,1.122388,0,199.631,36.71326,3.145879,112846.7,31
1208230,27,12,15,3.464909,-1,1.982649,2.271736,1.129354,0.2199359,1.739743,1.525225,1.145809,0,217.4814,39.46641,2.435377,111028.3,31
1368734,26,10,16,4.318164,-1,2.607872,2.956037,1.41833,0.2776391,1.783924,1.460795,1.133505,0,246.3721,38.92482,2.601943,140825.1,31
381144,27,10,17,5.127889,1,3.054055,3.476684,1.691835,0.3149741,1.775486,1.474937,1.138383,0,68.60592,38.17993,2.513168,171027.1,31
1118613,25,13,12,3.716739,-1,2.251853,2.562375,1.246884,0.3931187,1.802066,1.450506,1.137896,0,201.3503,39.33758,2.890616,117096.4,31
1237898,24,11,13,4.101999,-1,2.55156,2.869293,1.339458,0.4564071,1.871457,1.42962,1.124525,0,222.8216,37.62813,3.105576,127578,31
1213777,24,11,13,2.954922,-1,1.827708,2.068513,0.9885951,0.5009377,1.871412,1.428525,1.131752,0,218.4799,39.38109,3.643634,91385.4,31
375328,28,12,16,5.879023,1,3.391872,3.866316,1.888541,0.2310263,1.748415,1.520575,1.139877,0,67.55904,40.64324,2.228251,196728.6,31
1182636,25,11,14,4.774837,-1,2.870625,3.250708,1.555532,0.3584941,1.84304,1.46886,1.132404,0,212.8745,38.39666,2.990625,149272.5,31
1272852,24,12,12,3.672852,-1,2.349385,2.631202,1.209173,0.4374983,1.853581,1.395884,1.119954,0,229.1134,36.00854,3.027665,117469.3,31
1259940,26,11,15,4.495473,-1,2.655917,3.000084,1.421788,0.2772062,1.809597,1.498449,1.129585,0,226.7892,38.06231,2.71366,143419.5,31
1187146,27,13,14,2.248937,-1,1.272199,1.456452,0.7220697,0.2223622,1.801012,1.54412,1.144831,0,213.6863,40.57006,2.632198,71243.12,31
1203228,27,16,11,2.709126,-1,1.634539,1.832503,0.8436656,0.2688277,1.846406,1.478375,1.121113,0,216.581,46.39352,2.679908,91534.17,31
1320110,24,10,14,3.782584,-1,2.348974,2.651429,1.255154,0.4218885,1.804941,1.426621,1.12876,0,237.6198,37.11694,2.92588,117448.7,31
346135,26,14,12,5.786568,1,3.530275,3.972188,1.85552,0.3412333,1.804695,1.456771,1.125178,0,62.3043,41.67256,2.486267,190634.9,31
1135145,24,11,13,3.994428,-1,2.366939,2.693453,1.311921,0.3204842,1.742724,1.483014,1.137948,0,204.3261,37.40187,2.961488,118346.9,31
