"pd_location","signal_width","rise_time","fall_time","peak_voltage","polarity","mean","rms","sd","Skewness","kurtosis","crest","formFactor","MainFreq","phase_angle","T","W","pC","pd_class"
974025,15,7,8,0.003646642,1,0.002280783,0.002612088,0.001314954,0.5279086,1.809819,1.396064,1.14526,0,175.3245,23.51204,8.375604,72.98505,"1"
367088,15,7,8,0.00852391,-1,0.0049906,0.005774906,0.003001058,0.3535617,1.682262,1.476026,1.157157,0,66.07584,23.57325,8.367459,159.6992,"1"
1175169,16,8,8,0.003237997,1,0.002010903,0.002264973,0.001074369,0.4356367,1.93187,1.429596,1.126346,0,211.5304,25.72543,7.494658,68.37072,"1"
313993,15,6,9,0.007814703,-1,0.004734372,0.005354393,0.002583072,0.4009229,1.835821,1.459494,1.130962,0,56.51874,23.17775,7.68069,151.4999,"1"
92725,15,6,9,0.006956813,-1,0.004095377,0.004686838,0.002353852,0.3400219,1.750541,1.48433,1.144421,0,16.6905,23.27243,7.945805,131.0521,"1"
160772,16,7,9,0.003237365,-1,0.001899419,0.00219618,0.001136387,0.3630951,1.705743,1.474089,1.156237,0,28.93896,23.87947,8.127568,64.58026,"1"
963790,16,7,9,0.003490649,1,0.002079443,0.002392199,0.00121899,0.4231821,1.792367,1.45918,1.150403,0,173.4822,24.42573,7.964456,70.70108,"1"
1123221,16,7,9,0.002567841,1,0.001546284,0.001786124,0.000921519,0.4224357,1.6797,1.437661,1.155107,0,202.1798,24.439,8.856694,52.57367,"1"
1073796,16,7,9,0.003947166,1,0.002371446,0.002762513,0.001460551,0.4767497,1.706092,1.428832,1.164907,0,193.2833,24.55603,9.099779,80.62915,"1"
1350370,16,7,9,0.0058348,1,0.0034911,0.00400251,0.002017877,0.4017817,1.751063,1.457785,1.14649,0,243.0666,24.64343,7.740649,118.6974,"1"
1148378,16,7,9,0.004779294,1,0.002776806,0.003186114,0.001610346,0.3136358,1.743726,1.500038,1.147402,0,206.708,25.1551,7.556691,94.41142,"1"
1254915,16,7,9,0.004336368,1,0.00261817,0.002990067,0.001488638,0.4566599,1.821612,1.450258,1.142045,0,225.8847,25.19215,7.694783,89.01777,"1"
295656,17,8,9,0.002532906,-1,0.001537436,0.001759465,0.000880378,0.3564788,1.701393,1.439589,1.144415,0,53.21808,25.42732,6.85788,55.34771,"1"
201806,17,8,9,0.001793855,-1,0.001098323,0.001256123,0.000627205,0.459991,1.874118,1.428089,1.143674,0,36.32508,26.00255,7.102175,39.53961,"1"
1224833,16,6,10,0.003502817,1,0.002147292,0.002483213,0.001285574,0.4715399,1.698754,1.410599,1.156439,0,220.4699,23.94712,9.568495,73.00794,"1"
1325934,16,6,10,0.00256648,1,0.001609028,0.001844663,0.000929877,0.5594835,1.810239,1.3913,1.146445,0,238.6681,24.53928,9.187473,54.70696,"1"
955149,16,6,10,0.003077102,1,0.001891539,0.00214713,0.001047264,0.3991571,1.779292,1.433124,1.135123,0,171.9268,24.68184,7.482184,64.31232,"1"
1247946,16,6,10,0.002264375,1,0.001483157,0.001668801,0.000788488,0.6469623,1.96817,1.356888,1.125168,0,224.6303,25.14012,7.729257,50.42734,"1"
1091976,17,7,10,0.004038019,1,0.002376078,0.00275745,0.001439775,0.2885431,1.675641,1.464403,1.160505,0,196.5557,27.58003,6.858125,85.5388,"1"
318659,15,4,11,0.01086706,-1,0.007858643,0.008840585,0.004182207,0.870888,2.247786,1.229224,1.124951,0,57.35862,25.20285,9.576927,251.4766,"1"
1015197,17,6,11,0.003061688,1,0.00173809,0.002050979,0.001120401,0.277694,1.663067,1.492793,1.180019,0,182.7355,26.06283,7.854714,62.57124,"1"
1298153,15,7,8,0.00497003,1,0.003037807,0.003506962,0.001809756,0.3993961,1.691484,1.417189,1.154439,0,233.6675,23.40557,8.541143,97.20981,"1"
1220953,15,7,8,0.00349674,1,0.002222681,0.002558765,0.001309237,0.6001921,1.844749,1.366573,1.151207,0,219.7715,23.66658,9.749322,71.12578,"1"
1220210,16,8,8,0.003819675,1,0.00225479,0.002606937,0.001348721,0.3187468,1.74072,1.465196,1.156178,0,219.6378,25.62625,8.045845,76.66285,"1"
1037704,17,9,8,0.003082075,1,0.001876099,0.002131583,0.001041215,0.3751137,1.81142,1.445909,1.136178,0,186.7867,27.78196,6.434648,67.53955,"1"
338521,15,6,9,0.003512436,-1,0.002186463,0.002480254,0.001209316,0.4945525,1.835555,1.41616,1.134368,0,60.93378,23.45556,7.750459,69.9668,"1"
118635,16,7,9,0.00716107,-1,0.00413156,0.004839747,0.002598162,0.3072277,1.671563,1.479637,1.171409,0,21.3543,23.5303,8.737574,140.473,"1"
1182913,16,7,9,0.003027975,1,0.00189483,0.002179113,0.001109296,0.5042308,1.763741,1.389544,1.150031,0,212.9243,23.83998,8.750354,64.42423,"1"
1250130,16,7,9,0.003765689,1,0.002283364,0.002645393,0.001376907,0.4458645,1.697568,1.42349,1.15855,0,225.0234,23.89259,8.753844,77.63439,"1"
1077818,16,7,9,0.003302037,1,0.001964915,0.002269306,0.001170218,0.3979539,1.698387,1.455087,1.154913,0,194.0072,24.70498,8.509126,66.80711,"1"
152626,16,7,9,0.009846352,-1,0.005711331,0.006674016,0.003559268,0.3478649,1.640582,1.475326,1.168557,0,27.47268,25.05517,8.488172,194.1853,"1"
265656,17,8,9,0.002490383,-1,0.001496921,0.00172312,0.000878189,0.4070869,1.698152,1.445275,1.151109,0,47.81808,26.58883,6.920377,53.88917,"1"
102390,18,9,9,0.002823993,-1,0.001616898,0.001877571,0.000980572,0.2142986,1.684331,1.504067,1.161218,0,18.4302,28.23618,6.104838,61.44212,"1"
1572956,16,6,10,0.001888306,1,0.001039788,0.001218902,0.000655628,0.1076914,1.687236,1.549187,1.17226,0,283.1321,23.54958,8.811614,35.35278,"1"
996367,16,6,10,0.00353613,1,0.002189244,0.002495117,0.001233844,0.4548984,1.788116,1.41722,1.139716,0,179.3461,24.35434,7.659188,74.4343,"1"
982725,18,8,10,0.003498577,1,0.002017179,0.002313916,0.00116473,0.1573416,1.739459,1.511972,1.147105,0,176.8905,30.33385,6.185552,76.65281,"1"
971305,15,4,11,0.003804069,1,0.002456902,0.002814689,0.001418395,0.3347017,1.85018,1.351506,1.145625,0,174.8349,23.20147,8.590819,78.62088,"1"
1154903,17,6,11,0.005685263,1,0.003295871,0.003787358,0.001919921,0.2557473,1.729819,1.501116,1.149122,0,207.8825,24.93156,6.87288,118.6514,"1"
320167,15,4,11,0.01128364,-1,0.007589475,0.008649598,0.00428522,0.665747,1.85717,1.304527,1.139683,0,57.63006,25.09507,10.0277,242.8632,"1"
1305550,17,6,11,0.002589974,1,0.001542772,0.001788315,0.000930611,0.3265006,1.68882,1.448276,1.159157,0,234.999,26.32209,6.968596,55.53979,"1"
206177,19,8,11,0.001342185,-1,0.000818489,0.000936402,0.000466707,0.4265056,1.736432,1.433343,1.144062,0,37.11186,29.5618,5.263467,32.73954,"1"
1153336,15,7,8,0.004627446,1,0.002872559,0.003312372,0.001703397,0.5328689,1.778693,1.397019,1.153108,0,207.6005,23.5391,9.308346,91.92188,"1"
1054059,15,7,8,0.003169584,1,0.001765962,0.002015139,0.001002483,0.1092239,1.906709,1.572886,1.1411,0,189.7306,25.27648,9.260526,56.51079,"1"
1368715,16,8,8,0.00243231,1,0.001483913,0.001676388,0.000803924,0.4015843,1.92936,1.450923,1.129707,0,246.3687,25.85116,7.589902,50.45305,"1"
147907,15,6,9,0.008629919,-1,0.005211829,0.006013812,0.003098864,0.420474,1.703824,1.435016,1.153877,0,26.62326,23.4492,8.369717,166.7785,"1"
328833,15,6,9,0.007707592,-1,0.004621715,0.005328488,0.002738864,0.4293003,1.728644,1.446488,1.152925,0,59.18994,23.55105,8.326882,147.8949,"1"
1131928,15,6,9,0.003759191,1,0.002318113,0.002673426,0.001375426,0.5681863,1.827516,1.406132,1.153277,0,203.747,23.57788,9.737734,74.17961,"1"
1158429,16,7,9,0.003310439,1,0.00201879,0.002318091,0.001174377,0.4347655,1.696793,1.428089,1.148258,0,208.5172,24.36369,8.618315,68.63884,"1"
